dataset,section,model,n_docs,n_replicates,sum_input_tokens,sum_output_tokens,mean_input_tokens,mean_output_tokens,fact_cost_usd,imp_cost_usd,cov_cost_usd,total_cost_usd
MIMIC_IV_BHC,summarization,llama3.3,100,1,324624,45454,3246.2,454.5,,,,0.2628
ACI_Bench,summarization,llama3.3,100,1,151703.48837209283,54498.83720930232,1517.0,545.0,,,,0.1464
OMOP,summarization,llama3.3,100,1,1752419,63069,17524.2,630.7,,,,1.289
SumPubMed,summarization,llama3.3,100,1,589795,48774,5897.9,487.7,,,,0.4534
MIMIC_III_CXR,summarization,llama3.3,100,1,15714,10349,157.1,103.5,,,,0.0185
MIMIC_IV_BHC,judge,gpt-5o-mini,100,5,22219485,870905,,,0.8142,4.6984,1.7841,7.2967
ACI_Bench,judge,gpt-5o-mini,100,5,8543610.46511628,467494.18604651163,,,0.7658,1.4132,0.8919,3.0709
OMOP,judge,gpt-5o-mini,100,5,320094860,2671725,,,6.613,71.8504,6.9038,85.3672
SumPubMed,judge,gpt-5o-mini,100,5,53232955,1267070,,,0.956,12.0505,2.8359,15.8424
MIMIC_III_CXR,judge,gpt-5o-mini,100,5,557225,73850,,,0.0882,0.1021,0.0967,0.287
MIMIC_IV_BHC,judge_gemini,gemini-2.5-pro,100,5,22219485,870905,,,4.071,23.492,8.9205,36.4835
ACI_Bench,judge_gemini,gemini-2.5-pro,100,5,8543610.46511628,467494.18604651163,,,3.829,7.066,4.4595,15.3545
MIMIC_IV_BHC,oracle,gpt-5,100,1,2442901,174181,,,0.8142,2.1971,1.7841,4.7954
ACI_Bench,oracle,gpt-5,100,1,1153197.6744186047,93498.83720930232,,,0.7658,0.7188,0.8919,2.3765
OMOP,oracle,gpt-5,100,1,17510327,534345,,,6.613,13.7146,6.9038,27.2314
SumPubMed,oracle,gpt-5,100,1,3174607,253414,,,0.956,2.7106,2.8359,6.5024
MIMIC_III_CXR,oracle,gpt-5,100,1,102220,14770,,,0.0882,0.0905,0.0967,0.2755
MIMIC_IV_BHC,judge_external,nli_deberta,100,1,,,,,0.0,,0.0,0.0
MIMIC_IV_BHC,judge_external,bert_embed,100,1,,,,,0.0,,0.0,0.0
MIMIC_IV_BHC,judge_external,alignscore,100,1,,,,,0.0,,0.0,0.0
ACI_Bench,judge_external,nli_deberta,100,1,,,,,0.0,,0.0,0.0
ACI_Bench,judge_external,bert_embed,100,1,,,,,0.0,,0.0,0.0
ACI_Bench,judge_external,alignscore,100,1,,,,,0.0,,0.0,0.0
OMOP,judge_external,nli_deberta,100,1,,,,,0.0,,0.0,0.0
OMOP,judge_external,bert_embed,100,1,,,,,0.0,,0.0,0.0
OMOP,judge_external,alignscore,100,1,,,,,0.0,,0.0,0.0
SumPubMed,judge_external,nli_deberta,100,1,,,,,0.0,,0.0,0.0
SumPubMed,judge_external,bert_embed,100,1,,,,,0.0,,0.0,0.0
SumPubMed,judge_external,alignscore,100,1,,,,,0.0,,0.0,0.0
MIMIC_III_CXR,judge_external,nli_deberta,100,1,,,,,0.0,,0.0,0.0
MIMIC_III_CXR,judge_external,bert_embed,100,1,,,,,0.0,,0.0,0.0
MIMIC_III_CXR,judge_external,alignscore,100,1,,,,,0.0,,0.0,0.0
